NO,Tanggal,Kurs Jual,Kurs Beli,Nilai
1,01/03/11,11983.5,11863.05,1
2,01/04/11,12035.82,11913.95,1
3,01/05/11,11993.59,11873.19,1
4,01/06/11,11877.25,11757.2,1
5,01/07/11,11778.29,11655.74,1
6,01/10/11,11723.36,11606.15,1
7,01/11/11,11834.54,11716.11,1
8,01/12/11,11831.54,11711.7,1
9,01/13/11,11923.25,11803.31,1
10,01/14/11,12144.12,12021.43,1
11,01/17/11,12152.74,12029.07,1
12,01/18/11,12092.61,11970.44,1
13,01/19/11,12213.8,12090.16,1
14,01/20/11,12249.69,12125.11,1
15,01/21/11,12294.67,12171.54,1
16,01/24/11,12396.92,12272.56,1
17,01/25/11,12402.85,12276.54,1
18,01/26/11,12443.71,12318.61,1
19,01/27/11,12440.94,12312.19,1
20,01/28/11,12443.68,12318.53,1
21,01/31/11,12381.45,12257.22,1
22,02/01/11,12466.46,12341.18,1
23,02/02/11,12544.53,12418.15,1
24,02/04/11,12380.12,12253.74,1
25,02/07/11,12286.14,12160.87,1
26,02/08/11,12174.88,12050.84,1
27,02/09/11,12216.1,12091.65,1
28,02/10/11,12300.09,12171.33,1
29,02/11/11,12200.18,12075.19,1
30,02/14/11,12141.76,12018.1,1
31,02/16/11,12086.52,11963.19,1
32,02/17/11,12128.99,12007.58,1
33,02/18/11,12104.05,11982.63,1
34,02/21/11,12172.6,12046.81,1
35,02/22/11,12131.58,12009.21,1
36,02/23/11,12194.37,12072.05,1
37,02/24/11,12262.91,12136.38,1
38,02/25/11,12299.89,12173.9,1
39,02/28/11,12165.52,12040.4,1
40,03/01/11,12226.59,12103.35,1
41,03/02/11,12213.9,12089.18,1
42,03/03/11,12271.14,12143.91,1
43,03/04/11,12333.8,12205.73,1
44,03/07/11,12350.3,12222.01,1
45,03/08/11,12348.53,12224.64,1
46,03/09/11,12265.62,12140.73,1
47,03/10/11,12273.77,12149.54,1
48,03/11/11,12208.24,12084.8,1
49,03/14/11,12294.28,12168.06,1
50,03/15/11,12297.95,12174.34,1
51,03/16/11,12335.07,12209.43,1
52,03/17/11,12301.1,12174.23,1
53,03/18/11,12405.52,12277.34,1
54,03/21/11,12470.43,12342.17,1
55,03/22/11,12446.44,12318.72,1
56,03/23/11,12416.5,12290.1,1
57,03/24/11,12345.16,12219.49,1
58,03/25/11,12404.21,12277.75,1
59,03/28/11,12317.62,12192.17,1
60,03/29/11,12324.95,12199.34,1
61,03/30/11,12332.67,12207.03,1
62,03/31/11,12379.37,12254.04,1
63,04/01/11,12380.42,12256.03,1
64,04/04/11,12406.27,12280.44,1
65,04/05/11,12366.04,12242.27,1
66,04/06/11,12397.64,12271.56,1
67,04/07/11,12440.19,12316.31,1
68,04/08/11,12491.76,12365.68,1
69,04/11/11,12566.62,12439.59,1
70,04/12/11,12545.31,12420.57,1
71,04/13/11,12617.58,12487.89,1
72,04/14/11,12565.09,12434.91,1
73,04/15/11,12612.1,12484.9,1
74,04/18/11,12529.29,12400.45,1
75,04/19/11,12405.65,12281.7,1
76,04/20/11,12522.78,12392.96,1
77,04/21/11,12644.64,12517.53,1
78,04/25/11,12611.1,12481.73,1
79,04/26/11,12637.04,12510.38,1
80,04/27/11,12747.16,12617.26,1
81,04/28/11,12818.41,12685.64,1
82,04/29/11,12779.87,12651.47,1
83,05/02/11,12720.84,12590.14,1
84,05/03/11,12724.42,12592.88,1
85,05/04/11,12730.1,12601.98,1
86,05/05/11,12780.92,12648.13,1
87,05/06/11,12556.75,12428.92,1
88,05/09/11,12376.19,12247.2,1
89,05/10/11,12323.23,12198.23,1
90,05/11/11,12358.71,12230.72,1
91,05/12/11,12209.63,12082.14,1
92,05/13/11,12214.32,12090.44,1
93,05/18/11,12274.23,12147.17,1
94,05/19/11,12275.12,12150.48,1
95,05/20/11,12278.55,12152.05,1
96,05/23/11,12119.59,11996.75,1
97,05/24/11,12093.29,11971.66,1
98,05/25/11,12127.84,12006.08,1
99,05/26/11,12206.23,12082.73,1
100,05/27/11,12205.28,12081.64,1
101,05/30/11,12280.83,12155.35,1
102,05/31/11,12341.47,12215.22,1
103,06/01/11,12379.26,12254.37,1
104,06/03/11,12436.71,12308.66,1
105,06/06/11,12520.87,12389.83,1
106,06/07/11,12499.69,12370.04,1
107,06/08/11,12553.97,12425.36,1
108,06/09/11,12526.06,12399.46,1
109,06/10/11,12442.56,12314.18,1
110,06/13/11,12301.98,12174.34,1
111,06/14/11,12370.37,12242.99,1
112,06/15/11,12366.04,12239.52,1
113,06/16/11,12243.44,12119.68,1
114,06/17/11,12246.96,12122.46,1
115,06/20/11,12304.75,12177.74,1
116,06/21/11,12389.72,12262.2,1
117,06/22/11,12418.26,12292.99,1
118,06/23/11,12360.92,12237.08,1
119,06/24/11,12332.96,12207.7,1
120,06/27/11,12245.47,12120.46,1
121,06/28/11,12396.71,12269.4,1
122,06/30/11,12524.54,12399.02,1
123,07/01/11,12474.4,12344.63,1
124,07/04/11,12462.08,12335.25,1
125,07/05/11,12438.48,12308.75,1
126,07/06/11,12398.59,12270,1
127,07/07/11,12296.56,12171.58,1
128,07/08/11,12302.21,12177.87,1
129,07/11/11,12158.02,12035.94,1
130,07/12/11,11982.4,11859.92,1
131,07/13/11,12046.14,11921.49,1
132,07/14/11,12208.19,12079.89,1
133,07/15/11,12170.73,12047.89,1
134,07/18/11,12094.81,11972.13,1
135,07/19/11,12154.07,12029.99,1
136,07/20/11,12152.67,12030.05,1
137,07/21/11,12231.92,12105.95,1
138,07/22/11,12333.09,12205.93,1
139,07/25/11,12339.67,12211.61,1
140,07/26/11,12353.57,12225.28,1
141,07/27/11,12372.51,12246.46,1
142,07/28/11,12262.71,12135.16,1
143,07/29/11,12223.65,12099.02,1
144,08/01/11,12266.3,12142.03,1
145,08/02/11,12133.2,12010.8,1
146,08/03/11,12098.39,11975.01,1
147,08/04/11,12204.39,12079.92,1
148,08/05/11,12112.94,11988.99,1
149,08/08/11,12302.27,12176.36,1
150,08/09/11,12191.96,12067.46,1
151,08/10/11,12302.26,12177.15,1
152,08/11/11,12219.87,12095.8,1
153,08/12/11,12187.56,12063.76,1
154,08/15/11,12288,12162.34,1
155,08/16/11,12375.35,12248.6,1
156,08/18/11,12345.15,12217.11,1
