NO,Tanggal,Kurs Jual,Kurs Beli,Nilai
1,01/04/21,17126.12,16950.18,1
2,01/05/21,17191.87,17015.26,1
3,01/06/21,17196.43,17021.16,1
4,01/07/21,17260.28,17084.37,1
5,01/08/21,17318.46,17140.54,1
6,01/11/21,17324.15,17146.14,1
7,01/12/21,17369.97,17192.89,1
8,01/13/21,17324.57,17150.79,1
9,01/14/21,17226.17,17049.15,1
10,01/15/21,17176.67,17001.56,1
11,01/18/21,17095.1,16923.6,1
12,01/19/21,17126.45,16951.83,1
13,01/20/21,17171.6,16995.14,1
14,01/21/21,17110.23,16935.79,1
15,01/22/21,17196.3,17021,1
16,01/25/21,17222.07,17049.3,1
17,01/26/21,17191.57,17019.11,1
18,01/27/21,17216.09,17043.38,1
19,01/28/21,17168,16995.77,1
20,01/29/21,17136.76,16964.84,1
21,02/01/21,17118.11,16942.19,1
22,02/02/21,17057.03,16885.92,1
23,02/03/21,16973.53,16800.46,1
24,02/04/21,16976.79,16806.47,1
25,02/05/21,16907.9,16734.06,1
26,02/08/21,16931.84,16761.97,1
27,02/09/21,16995.15,16820.48,1
28,02/10/21,17038.04,16867.12,1
29,02/11/21,17064.84,16890.86,1
30,02/12/21,17064.84,16890.86,1
31,02/15/21,17003.88,16829.14,1
32,02/16/21,16935.45,16765.56,1
33,02/17/21,17039.36,16868.42,1
34,02/18/21,17018.74,16843.81,1
35,02/19/21,17106.84,16931.01,1
36,02/22/21,17172.21,16997.13,1
37,02/23/21,17284.4,17106.79,1
38,02/24/21,17220.72,17043.77,1
39,02/25/21,17241.89,17064.71,1
40,02/26/21,17421.87,17244.27,1
41,03/01/21,17366.52,17188.03,1
42,03/02/21,17304.57,17130.96,1
43,03/03/21,17412.13,17233.17,1
44,03/04/21,17322.2,17148.42,1
45,03/05/21,17266.44,17093.2,1
46,03/08/21,17235.75,17058.52,1
47,03/09/21,17236.12,17058.86,1
48,03/10/21,17222.16,17045.06,1
49,03/11/21,17222.16,17045.06,1
50,03/12/21,17295.32,17117.51,1
51,03/15/21,17315.66,17137.62,1
52,03/16/21,17290.97,17113.18,1
53,03/17/21,17295.15,17117.31,1
54,03/18/21,17337.42,17163.47,1
55,03/19/21,17325.67,17147.51,1
56,03/22/21,17272.67,17099.37,1
57,03/23/21,17284.48,17106.76,1
58,03/24/21,17204.66,17032.03,1
59,03/25/21,17189.2,17012.4,1
60,03/26/21,17105.38,16929.43,1
61,03/29/21,17102.77,16931.16,1
62,03/30/21,17133.73,16957.48,1
63,03/31/21,17150.6,16978.49,1
64,04/01/21,17177,17000.28,1
65,04/02/21,17177,17000.28,1
66,04/05/21,17189.64,17014.24,1
67,04/06/21,17160.2,16983.67,1
68,04/07/21,17241.43,17068.43,1
69,04/08/21,17339.33,17162.46,1
70,04/09/21,17406.18,17231.53,1
71,04/12/21,17420.83,17241.69,1
72,04/13/21,17478.83,17303.46,1
73,04/14/21,17513.86,17336.68,1
74,04/15/21,17600.34,17422.3,1
75,04/16/21,17641,17461.09,1
76,04/19/21,17564.22,17388,1
77,04/20/21,17607.07,17426.08,1
78,04/21/21,17597.25,17416.38,1
79,04/22/21,17560.72,17381.65,1
80,04/23/21,17564.07,17384.96,1
81,04/26/21,17637,17458.61,1
82,04/27/21,17622.27,17441.15,1
83,04/28/21,17572.26,17394.53,1
84,04/29/21,17612.8,17434.66,1
85,04/30/21,17617.08,17440.34,1
86,05/03/21,17571.22,17392.07,1
87,05/04/21,17519.9,17341.26,1
88,05/05/21,17408.14,17230.62,1
89,05/06/21,17409.09,17232.99,1
90,05/07/21,17383.61,17204.93,1
91,05/10/21,17357.48,17180.5,1
92,05/11/21,17369.64,17192.57,1
93,05/12/21,17369.64,17192.57,1
94,05/13/21,17369.64,17192.57,1
95,05/14/21,17369.64,17192.57,1
96,05/17/21,17368.63,17194.39,1
97,05/18/21,17440.4,17262.6,1
98,05/19/21,17563.41,17382.96,1
99,05/20/21,17573.63,17395.92,1
100,05/21/21,17636.47,17456.68,1
101,05/24/21,17661.31,17482.72,1
102,05/25/21,17602.03,17421.17,1
103,05/26/21,17602.03,17421.17,1
104,05/27/21,17664.03,17483.99,1
105,05/28/21,17537.87,17359.1,1
106,05/31/21,17542.61,17363.79,1
107,06/01/21,17542.61,17363.79,1
108,06/02/21,17524.86,17344.79,1
109,06/03/21,17477.98,17299.81,1
110,06/04/21,17513.75,17335.22,1
111,06/07/21,17427.68,17249.99,1
112,06/08/21,17443.18,17265.35,1
113,06/09/21,17452.24,17274.33,1
114,06/10/21,17475.17,17297.03,1
115,06/11/21,17415.3,17236.35,1
116,06/14/21,17375.15,17198.02,1
117,06/15/21,17313.24,17139.56,1
118,06/16/21,17362.93,17184.5,1
119,06/17/21,17380.22,17201.6,1
120,06/18/21,17267.62,17090.08,1
121,06/21/21,17242.64,17065.34,1
122,06/22/21,17276.36,17103.01,1
123,06/23/21,17242.45,17069.45,1
