,Unnamed: 0,Currency,Name,Units per EUR,EUR per unit,Date
20,20,IDR,Indonesian Rupiah,16227.87597652554,6.16223590472e-05,2022-01-01
203,20,IDR,Indonesian Rupiah,16228.939208582273,6.16183218845e-05,2022-01-02
386,20,IDR,Indonesian Rupiah,16116.086797366694,6.20498023231e-05,2022-01-03
569,20,IDR,Indonesian Rupiah,16172.326153645492,6.18340237823e-05,2022-01-04
752,20,IDR,Indonesian Rupiah,16284.899445311215,6.14065811924e-05,2022-01-05
935,20,IDR,Indonesian Rupiah,16269.896866325382,6.14632046051e-05,2022-01-06
1118,20,IDR,Indonesian Rupiah,16296.866595098974,6.1361488981e-05,2022-01-07
1301,20,IDR,Indonesian Rupiah,16303.607338794114,6.13361190084e-05,2022-01-08
1484,20,IDR,Indonesian Rupiah,16314.133694587132,6.12965431521e-05,2022-01-09
1667,20,IDR,Indonesian Rupiah,16201.73696343873,6.17217772549e-05,2022-01-10
1850,20,IDR,Indonesian Rupiah,16250.58103264886,6.15362612568e-05,2022-01-11
2033,20,IDR,Indonesian Rupiah,16360.79588927641,6.11217208971e-05,2022-01-12
2216,20,IDR,Indonesian Rupiah,16391.795667448772,6.10061289371e-05,2022-01-13
2399,20,IDR,Indonesian Rupiah,16324.554779813256,6.1257413356e-05,2022-01-14
2582,20,IDR,Indonesian Rupiah,16333.767171226706,6.12228636246e-05,2022-01-15
2765,20,IDR,Indonesian Rupiah,16337.622472969882,6.12084164421e-05,2022-01-16
2948,20,IDR,Indonesian Rupiah,16349.179676386868,6.11651483312e-05,2022-01-17
3131,20,IDR,Indonesian Rupiah,16256.461444833154,6.15140018874e-05,2022-01-18
3314,20,IDR,Indonesian Rupiah,16296.725790796614,6.13620191464e-05,2022-01-19
3497,20,IDR,Indonesian Rupiah,16243.62602640821,6.1562609135e-05,2022-01-20
3680,20,IDR,Indonesian Rupiah,16267.287576122151,6.14730633684e-05,2022-01-21
3864,20,IDR,Indonesian Rupiah,16275.685753469985,6.14413435567e-05,2022-01-22
4048,20,IDR,Indonesian Rupiah,16285.22999248445,6.1405334801e-05,2022-01-23
4232,20,IDR,Indonesian Rupiah,16237.415106977838,6.15861572431e-05,2022-01-24
4416,20,IDR,Indonesian Rupiah,16192.707524545538,6.1756194786e-05,2022-01-25
4600,20,IDR,Indonesian Rupiah,16178.985236049111,6.18085736163e-05,2022-01-26
4784,20,IDR,Indonesian Rupiah,16026.959852820715,6.2394865226e-05,2022-01-27
4968,20,IDR,Indonesian Rupiah,16057.665510750438,6.22755530267e-05,2022-01-28
5152,20,IDR,Indonesian Rupiah,16035.84948408688,6.23602760173e-05,2022-01-29
5336,20,IDR,Indonesian Rupiah,16036.216841379117,6.23588474695e-05,2022-01-30
5520,20,IDR,Indonesian Rupiah,16107.225227805357,6.20839397138e-05,2022-01-31
20,20,IDR,Indonesian Rupiah,16146.760668880244,6.19319268122e-05,2022-02-01
204,20,IDR,Indonesian Rupiah,16221.568187853878,6.16463210226e-05,2022-02-02
388,20,IDR,Indonesian Rupiah,16428.763345527022,6.08688541534e-05,2022-02-03
572,20,IDR,Indonesian Rupiah,16480.020537175344,6.06795360323e-05,2022-02-04
756,20,IDR,Indonesian Rupiah,16468.085185379106,6.07235139206e-05,2022-02-05
940,20,IDR,Indonesian Rupiah,16469.612734444432,6.07178818423e-05,2022-02-06
1124,20,IDR,Indonesian Rupiah,16463.88227744095,6.07390154489e-05,2022-02-07
1308,20,IDR,Indonesian Rupiah,16425.239369960753,6.08819133454e-05,2022-02-08
1492,20,IDR,Indonesian Rupiah,16409.196586580594,6.0941435781e-05,2022-02-09
1676,20,IDR,Indonesian Rupiah,16461.975856017052,6.07460494867e-05,2022-02-10
1860,20,IDR,Indonesian Rupiah,16345.88641515994,6.11774714812e-05,2022-02-11
2044,20,IDR,Indonesian Rupiah,16281.372413677773,6.14198836923e-05,2022-02-12
2228,20,IDR,Indonesian Rupiah,16283.443543120327,6.1412071553e-05,2022-02-13
2412,20,IDR,Indonesian Rupiah,16190.264266361855,6.17655143577e-05,2022-02-14
2596,20,IDR,Indonesian Rupiah,16225.72418901695,6.16305311461e-05,2022-02-15
2780,20,IDR,Indonesian Rupiah,16238.672171526534,6.15813897489e-05,2022-02-16
2964,20,IDR,Indonesian Rupiah,16274.488734452903,6.14458626821e-05,2022-02-17
3148,20,IDR,Indonesian Rupiah,16249.237790802234,6.15413481465e-05,2022-02-18
